feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_34_avg,0.027917559614771804,0.027917559614771804,0.0,0.027917559614771804,0.027917559614771804,0.027917559614771804,0.027917559614771804,1.0,1,1.0,1,0.032410997349104284,0.032410997349104284,0.0,0.032410997349104284,0.032410997349104284,0.032410997349104284,0.032410997349104284,1.0,1,1.0
sensor_8_avg,-0.026648807396949522,-0.026648807396949522,0.0,-0.026648807396949522,-0.026648807396949522,0.026648807396949522,0.026648807396949522,1.0,1,1.0,1,-0.015616243240668976,-0.015616243240668976,0.0,-0.015616243240668976,-0.015616243240668976,0.015616243240668976,0.015616243240668976,1.0,1,1.0
sensor_22_avg,-0.026164769738286114,-0.026164769738286114,0.0,-0.026164769738286114,-0.026164769738286114,0.026164769738286114,0.026164769738286114,1.0,1,1.0,1,-0.0266807930592814,-0.0266807930592814,0.0,-0.0266807930592814,-0.0266807930592814,0.0266807930592814,0.0266807930592814,1.0,1,1.0
power_29_min,0.02454871119572009,0.02454871119572009,0.0,0.02454871119572009,0.02454871119572009,0.02454871119572009,0.02454871119572009,1.0,1,1.0,1,0.004004174237897961,0.004004174237897961,0.0,0.004004174237897961,0.004004174237897961,0.004004174237897961,0.004004174237897961,1.0,1,1.0
wind_speed_3_avg,0.022557762070020176,0.022557762070020176,0.0,0.022557762070020176,0.022557762070020176,0.022557762070020176,0.022557762070020176,1.0,1,1.0,1,0.00986483037732785,0.00986483037732785,0.0,0.00986483037732785,0.00986483037732785,0.00986483037732785,0.00986483037732785,1.0,1,1.0
power_29_std,-0.021489654887226976,-0.021489654887226976,0.0,-0.021489654887226976,-0.021489654887226976,0.021489654887226976,0.021489654887226976,1.0,1,1.0,1,-0.02040738546000906,-0.02040738546000906,0.0,-0.02040738546000906,-0.02040738546000906,0.02040738546000906,0.02040738546000906,1.0,1,1.0
reactive_power_28_std,-0.020711893591302624,-0.020711893591302624,0.0,-0.020711893591302624,-0.020711893591302624,0.020711893591302624,0.020711893591302624,1.0,1,1.0,1,-0.03131042980400317,-0.03131042980400317,0.0,-0.03131042980400317,-0.03131042980400317,0.03131042980400317,0.03131042980400317,1.0,1,1.0
sensor_24_avg,-0.018177125332454525,-0.018177125332454525,0.0,-0.018177125332454525,-0.018177125332454525,0.018177125332454525,0.018177125332454525,1.0,1,1.0,1,-0.0392361691871762,-0.0392361691871762,0.0,-0.0392361691871762,-0.0392361691871762,0.0392361691871762,0.0392361691871762,1.0,1,1.0
sensor_52_std,-0.017903144140895073,-0.017903144140895073,0.0,-0.017903144140895073,-0.017903144140895073,0.017903144140895073,0.017903144140895073,1.0,1,1.0,1,-0.06039101488588614,-0.06039101488588614,0.0,-0.06039101488588614,-0.06039101488588614,0.06039101488588614,0.06039101488588614,1.0,1,1.0
sensor_25_avg,-0.017307143462927138,-0.017307143462927138,0.0,-0.017307143462927138,-0.017307143462927138,0.017307143462927138,0.017307143462927138,1.0,1,1.0,1,-0.03975409291928311,-0.03975409291928311,0.0,-0.03975409291928311,-0.03975409291928311,0.03975409291928311,0.03975409291928311,1.0,1,1.0
power_29_avg,0.017305872366770003,0.017305872366770003,0.0,0.017305872366770003,0.017305872366770003,0.017305872366770003,0.017305872366770003,1.0,1,1.0,1,0.005619369243722719,0.005619369243722719,0.0,0.005619369243722719,0.005619369243722719,0.005619369243722719,0.005619369243722719,1.0,1,1.0
power_30_avg,-0.01676110386719117,-0.01676110386719117,0.0,-0.01676110386719117,-0.01676110386719117,0.01676110386719117,0.01676110386719117,1.0,1,1.0,1,-0.038579770228810366,-0.038579770228810366,0.0,-0.038579770228810366,-0.038579770228810366,0.038579770228810366,0.038579770228810366,1.0,1,1.0
sensor_23_avg,-0.01673934434657536,-0.01673934434657536,0.0,-0.01673934434657536,-0.01673934434657536,0.01673934434657536,0.01673934434657536,1.0,1,1.0,1,-0.03762839922328457,-0.03762839922328457,0.0,-0.03762839922328457,-0.03762839922328457,0.03762839922328457,0.03762839922328457,1.0,1,1.0
sensor_50,-0.01671941938281438,-0.01671941938281438,0.0,-0.01671941938281438,-0.01671941938281438,0.01671941938281438,0.01671941938281438,1.0,1,1.0,1,-0.0385866165873237,-0.0385866165873237,0.0,-0.0385866165873237,-0.0385866165873237,0.0385866165873237,0.0385866165873237,1.0,1,1.0
sensor_45,-0.01641109197780571,-0.01641109197780571,0.0,-0.01641109197780571,-0.01641109197780571,0.01641109197780571,0.01641109197780571,1.0,1,1.0,1,-0.04033346127105425,-0.04033346127105425,0.0,-0.04033346127105425,-0.04033346127105425,0.04033346127105425,0.04033346127105425,1.0,1,1.0
sensor_2_avg_cos,-0.016287311934577792,-0.016287311934577792,0.0,-0.016287311934577792,-0.016287311934577792,0.016287311934577792,0.016287311934577792,1.0,1,1.0,1,0.018619676927561758,0.018619676927561758,0.0,0.018619676927561758,0.018619676927561758,0.018619676927561758,0.018619676927561758,1.0,1,1.0
sensor_18_std,-0.015717487525288808,-0.015717487525288808,0.0,-0.015717487525288808,-0.015717487525288808,0.015717487525288808,0.015717487525288808,1.0,1,1.0,1,-0.05480946873718636,-0.05480946873718636,0.0,-0.05480946873718636,-0.05480946873718636,0.05480946873718636,0.05480946873718636,1.0,1,1.0
wind_speed_4_avg,0.014683752876102213,0.014683752876102213,0.0,0.014683752876102213,0.014683752876102213,0.014683752876102213,0.014683752876102213,1.0,1,1.0,1,0.00367568716734469,0.00367568716734469,0.0,0.00367568716734469,0.00367568716734469,0.00367568716734469,0.00367568716734469,1.0,1,1.0
sensor_31_std,-0.013809760299372423,-0.013809760299372423,0.0,-0.013809760299372423,-0.013809760299372423,0.013809760299372423,0.013809760299372423,1.0,1,1.0,1,-0.039911205838965236,-0.039911205838965236,0.0,-0.039911205838965236,-0.039911205838965236,0.039911205838965236,0.039911205838965236,1.0,1,1.0
wind_speed_3_max,-0.012752372105098535,-0.012752372105098535,0.0,-0.012752372105098535,-0.012752372105098535,0.012752372105098535,0.012752372105098535,1.0,1,1.0,1,-0.020966411614424845,-0.020966411614424845,0.0,-0.020966411614424845,-0.020966411614424845,0.020966411614424845,0.020966411614424845,1.0,1,1.0
yaw_misalignment_abs,0.011091767988213768,0.011091767988213768,0.0,0.011091767988213768,0.011091767988213768,0.011091767988213768,0.011091767988213768,1.0,1,1.0,1,-0.018619672541689194,-0.018619672541689194,0.0,-0.018619672541689194,-0.018619672541689194,0.018619672541689194,0.018619672541689194,1.0,1,1.0
sensor_2_avg_sin,-0.01106085212812946,-0.01106085212812946,0.0,-0.01106085212812946,-0.01106085212812946,0.01106085212812946,0.01106085212812946,1.0,1,1.0,1,-0.006095002358918705,-0.006095002358918705,0.0,-0.006095002358918705,-0.006095002358918705,0.006095002358918705,0.006095002358918705,1.0,1,1.0
