feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_2_avg_cos,-0.018564725359518044,-0.006985395734338479,0.04113318457346074,-0.10769596495168454,0.039629000250681376,0.03421434646289532,0.030607361004700382,0.5909090909090909,17,0.7727272727272727,22,0.014799689814921817,0.0013450015938968273,0.05124981406190063,-0.060654922137510746,0.11683614005119317,0.03810453316588373,0.026050217156393295,0.5909090909090909,18,0.8181818181818182
sensor_22_avg,-0.011307164316643597,-0.0044616350868057824,0.04405969526861669,-0.09572066320415175,0.10694566050030106,0.03171559002112175,0.021951749649818594,0.6363636363636364,15,0.6818181818181818,22,-0.013207533526473508,-0.013172310778212558,0.043894442904315455,-0.09871578866792849,0.1087319317985001,0.033301900079871716,0.020843509231158963,0.6363636363636364,18,0.8181818181818182
reactive_power_27_std,-0.026490108339208698,-0.024794260451376962,0.033693894539349845,-0.10025287938466348,0.017154045201047713,0.031450923952609865,0.024794260451376962,0.7272727272727273,18,0.8181818181818182,22,-0.03591066368572044,-0.030084066200575264,0.04325973304470351,-0.13584571890729202,0.01748872624724569,0.04009419393971452,0.030084066200575264,0.7727272727272727,17,0.7727272727272727
sensor_31_max,0.01610164870296079,0.01380714467240679,0.03496370922932446,-0.03971409472739226,0.08377145542336925,0.02936869967964826,0.023356631561114033,0.6818181818181818,17,0.7727272727272727,22,0.030167937769235497,0.021864724977545845,0.06095859572536807,-0.043446681994012123,0.16634848934030885,0.04822647784373288,0.03359247266064465,0.6818181818181818,20,0.9090909090909091
reactive_power_28_std,-0.016693851977816875,-0.015374339054416649,0.0320209220745163,-0.0840858287815219,0.02536249469471004,0.027067468783890082,0.018084967416469307,0.6363636363636364,18,0.8181818181818182,22,-0.026428733199533996,-0.02174515859845481,0.04104927006580411,-0.1194696918263985,0.016969537263953286,0.03428974113406353,0.02174515859845481,0.6363636363636364,17,0.7727272727272727
sensor_52_std,-0.014331252305247932,-0.015580234968521765,0.023885373887683414,-0.047924225621508706,0.037104292585191656,0.02320309750778209,0.018580034266620152,0.7727272727272727,19,0.8636363636363636,22,-0.05310025416269288,-0.04592679786508232,0.043841311133303786,-0.13920255973405896,0.005861743139560517,0.05390188427962422,0.04592679786508232,0.9090909090909091,18,0.8181818181818182
sensor_31_std,-0.007103540536668896,-0.006498564767318566,0.02705931899885941,-0.05906668688948435,0.045463670257320135,0.022583448239015886,0.021714198972391636,0.5909090909090909,17,0.7727272727272727,22,-0.032999403530885596,-0.028810754389014853,0.04002463496951794,-0.10071232435307279,0.02997492029770453,0.04209731541757092,0.02964019293342502,0.7272727272727273,21,0.9545454545454546
sensor_18_std,-0.012287562478087904,-0.01334426015060897,0.022552267466298244,-0.04489980707507807,0.03465078111310423,0.02154410026993248,0.01598436675219702,0.6818181818181818,19,0.8636363636363636,22,-0.04678070445223206,-0.031438698484653874,0.04467689849800685,-0.14314257859959828,0.00535787507479317,0.0474273282563811,0.031438698484653874,0.9090909090909091,18,0.8181818181818182
sensor_2_avg_sin,-0.007407108610319808,0.0022376507186145918,0.026204753300257733,-0.05341840030611013,0.034264778686840795,0.020287074688885326,0.013182057955179103,0.5454545454545454,14,0.6363636363636364,22,-0.005808085493547943,-0.0004999360306444421,0.019555472410988137,-0.03939340706598428,0.026612239598728802,0.015721269153492392,0.011336106394704042,0.5454545454545454,16,0.7272727272727273
sensor_5_std_sin,0.006900891807758536,0.008118809969271203,0.01882124174823245,-0.026218653333648943,0.042224579144188666,0.01612315014557761,0.016697816391151324,0.5909090909090909,15,0.6818181818181818,22,-0.026697556097121468,-0.006268815689498347,0.05567193954461286,-0.15766589939530135,0.022708654933176475,0.036623924194999324,0.014183996226456837,0.5454545454545454,18,0.8181818181818182
sensor_5_std_cos,-0.01006269329427406,-0.009542663235239383,0.008949910375957383,-0.02481063793588559,0.006903914144278912,0.011129228934642353,0.009542663235239383,0.8181818181818182,14,0.6363636363636364,22,0.026697556097121468,0.006268815689498347,0.05567193954461286,-0.022708654933176475,0.15766589939530135,0.036623924194999324,0.014183996226456837,0.5454545454545454,18,0.8181818181818182
sensor_26_avg,-0.0017266847279105838,-0.0024193296613147395,0.008014798649532806,-0.017565551190319502,0.009600619548840743,0.006675571734730157,0.006025121875026806,0.6363636363636364,8,0.36363636363636365,22,-0.0011054343067035536,-0.0015142610020626485,0.007972463885741073,-0.017629650852744733,0.009611270233729563,0.006494235095160067,0.005855474693454555,0.5454545454545454,7,0.3181818181818182
