score,quantile,threshold,precision,recall,f1,pr_auc,roc_auc,predicted_window_count
mean_abs,0.975,0.8347943663597106,0.6043533930857875,0.18857371154614463,0.2874543239951279,0.4608980963921612,0.5607259901375772,781
mean_abs,0.99,0.8733186370134352,0.6563944530046225,0.1701957650819017,0.2703045685279188,0.4608980963921612,0.5607259901375772,649
last_72_mean_l2,0.975,16.525666904449455,0.5630573248407643,0.17658809428685576,0.2688564476885645,0.45510540592515514,0.5663538848948566,785
max_feature_mse,0.95,377.58722076415916,0.6602870813397129,0.16540151817818619,0.2645367412140575,0.4622687030412328,0.5897173493475174,627
last_24_mean_l2,0.975,18.683229446411126,0.5789473684210527,0.1713943268078306,0.2644882860665845,0.4549979906523429,0.5607601500403663,741
mean_l2,0.99,17.186345481872507,0.6385911179173047,0.16660007990411507,0.26425855513307983,0.44192127835826844,0.5654496426167412,653
p95_timestep_l2,0.975,43.39002886295318,0.6705298013245033,0.16180583300039952,0.26070164145477953,0.4564534387761156,0.5650667755017688,604
mean_mse,0.95,6.068140649795504,0.6366459627329193,0.16380343587694765,0.2605656180489355,0.46558801333404787,0.5894341999035887,644
top5_feature_mse,0.95,83.32084312438884,0.6409448818897637,0.1626048741510188,0.2594008922880816,0.4666273964727874,0.5948046565349722,635
max_timestep_l2,0.925,128.76383895874025,0.6616161616161617,0.15701158609668397,0.2537939941879238,0.5118991749593585,0.6266096381779848,594
mean_mse,0.975,10.369597244262676,0.6545138888888888,0.15061925689172992,0.24488470282559271,0.46558801333404787,0.5894341999035887,576
top5_feature_mse,0.975,143.46387176513628,0.6533101045296167,0.14982021574111068,0.24374390640233995,0.4666273964727874,0.5948046565349722,574
max_feature_mse,0.975,659.7222396850548,0.6538461538461539,0.14942069516580103,0.2432520325203252,0.4622687030412328,0.5897173493475174,572
mean_mse,0.99,14.712138757705688,0.6972111553784861,0.13983220135836996,0.23294509151414308,0.46558801333404787,0.5894341999035887,502
top5_feature_mse,0.99,206.110909576416,0.6972111553784861,0.13983220135836996,0.23294509151414308,0.4666273964727874,0.5948046565349722,502
p95_timestep_l2,0.99,62.37046432876563,0.6478102189781022,0.1418298042349181,0.23271058669288758,0.4564534387761156,0.5650667755017688,548
last_72_mean_l2,0.99,20.12104936599727,0.6863905325443787,0.1390331602077507,0.23122923588039868,0.45510540592515514,0.5663538848948566,507
max_feature_mse,0.99,975.3647259521483,0.6953907815631263,0.13863363963244107,0.23117921385742837,0.4622687030412328,0.5897173493475174,499
last_24_mean_l2,0.99,25.085834503173675,0.7325842696629213,0.13024370755093886,0.22116689280868385,0.4549979906523429,0.5607601500403663,445
max_timestep_l2,0.95,176.0554016113279,0.7060240963855422,0.11705952856572113,0.2008224811514736,0.5118991749593585,0.6266096381779848,415
max_timestep_l2,0.975,216.1116886138916,0.9655172413793104,0.022373152217339192,0.04373291682936353,0.5118991749593585,0.6266096381779848,58
max_timestep_l2,0.99,216.49793365478516,0.9545454545454546,0.016779864163004393,0.03297997644287397,0.5118991749593585,0.6266096381779848,44
